cell	persona	topic	engine	listings	status	source	epub_assembled	detail
tech_finance_burnout__grief__grief	tech_finance_burnout	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__grief__watcher	tech_finance_burnout	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__imposter_syndrome__comparison	tech_finance_burnout	imposter_syndrome	comparison	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__imposter_syndrome__shame	tech_finance_burnout	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__overthinking__false_alarm	tech_finance_burnout	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__overthinking__spiral	tech_finance_burnout	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__overthinking__watcher	tech_finance_burnout	overthinking	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__self_worth__comparison	tech_finance_burnout	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__self_worth__shame	tech_finance_burnout	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__sleep_anxiety__false_alarm	tech_finance_burnout	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__sleep_anxiety__overwhelm	tech_finance_burnout	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__sleep_anxiety__spiral	tech_finance_burnout	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__social_anxiety__comparison	tech_finance_burnout	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__social_anxiety__false_alarm	tech_finance_burnout	social_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__social_anxiety__shame	tech_finance_burnout	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
tech_finance_burnout__somatic_healing__overwhelm	tech_finance_burnout	somatic_healing	overwhelm	1	OTHER-GATE-FAIL	BUILT	NO	book_pass
tech_finance_burnout__somatic_healing__watcher	tech_finance_burnout	somatic_healing	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__comparison	working_parents	anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__false_alarm	working_parents	anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__grief	working_parents	anxiety	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__overwhelm	working_parents	anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__shame	working_parents	anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__spiral	working_parents	anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__anxiety__watcher	working_parents	anxiety	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__boundaries__comparison	working_parents	boundaries	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__boundaries__false_alarm	working_parents	boundaries	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__boundaries__shame	working_parents	boundaries	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__burnout__grief	working_parents	burnout	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__burnout__overwhelm	working_parents	burnout	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__burnout__watcher	working_parents	burnout	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__compassion_fatigue__grief	working_parents	compassion_fatigue	grief	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__compassion_fatigue__overwhelm	working_parents	compassion_fatigue	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__compassion_fatigue__watcher	working_parents	compassion_fatigue	watcher	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__courage__false_alarm	working_parents	courage	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__courage__shame	working_parents	courage	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__courage__spiral	working_parents	courage	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__depression__grief	working_parents	depression	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__depression__overwhelm	working_parents	depression	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__depression__watcher	working_parents	depression	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__financial_anxiety__overwhelm	working_parents	financial_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__financial_anxiety__shame	working_parents	financial_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__financial_anxiety__spiral	working_parents	financial_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__financial_stress__overwhelm	working_parents	financial_stress	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__financial_stress__shame	working_parents	financial_stress	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__financial_stress__spiral	working_parents	financial_stress	spiral	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__grief__grief	working_parents	grief	grief	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__grief__watcher	working_parents	grief	watcher	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__imposter_syndrome__comparison	working_parents	imposter_syndrome	comparison	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__imposter_syndrome__shame	working_parents	imposter_syndrome	shame	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__overthinking__false_alarm	working_parents	overthinking	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__overthinking__spiral	working_parents	overthinking	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__overthinking__watcher	working_parents	overthinking	watcher	2	EXERCISE-BANK-DEFICIT	BUILT	NO	no per-cell EXERCISE atoms
working_parents__self_worth__comparison	working_parents	self_worth	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__self_worth__shame	working_parents	self_worth	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__sleep_anxiety__false_alarm	working_parents	sleep_anxiety	false_alarm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__sleep_anxiety__overwhelm	working_parents	sleep_anxiety	overwhelm	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__sleep_anxiety__spiral	working_parents	sleep_anxiety	spiral	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__social_anxiety__comparison	working_parents	social_anxiety	comparison	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__social_anxiety__false_alarm	working_parents	social_anxiety	false_alarm	2	ASSEMBLED-PASS	BUILT	YES	register PASS
working_parents__social_anxiety__shame	working_parents	social_anxiety	shame	2	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__somatic_healing__overwhelm	working_parents	somatic_healing	overwhelm	1	VIABLE-UNBUILT	PROJECTED	NO	tuple-viable; build pending
working_parents__somatic_healing__watcher	working_parents	somatic_healing	watcher	1	OTHER-GATE-FAIL	BUILT	NO	book_pass
